Course Name,Course ID,Assignment Name,Link to Assignment
(GEOL 111): File Backup,20676,W01 MasteringGeology: Prepare Quiz,https://byui.instructure.com/courses/20676/assignments/576565
(GEOL 111): File Backup,20676,W01 MasteringGeology: Coaching Activity,https://byui.instructure.com/courses/20676/assignments/576563
(GEOL 111): File Backup,20676,W01 GeoJournal: Geology In Your Life,https://byui.instructure.com/courses/20676/assignments/576559
(GEOL 111): File Backup,20676,W01 Quiz: Knowledge Survey,https://byui.instructure.com/courses/20676/assignments/576501
(GEOL 111): File Backup,20676,W01 Activity: Geological Observations,https://byui.instructure.com/courses/20676/assignments/576561
(GEOL 111): File Backup,20676,W01 Reminder: Discussion Board Replies,https://byui.instructure.com/courses/20676/assignments/576567
(GEOL 111): File Backup,20676,W02 MasteringGeology: Prepare Quiz,https://byui.instructure.com/courses/20676/assignments/576573
(GEOL 111): File Backup,20676,W02 MasteringGeology: Coaching Activity,https://byui.instructure.com/courses/20676/assignments/576571
(GEOL 111): File Backup,20676,W02 Group Discussion: Plate Tectonics Experiment,https://byui.instructure.com/courses/20676/assignments/576569
(GEOL 111): File Backup,20676,W02 GeoJournal: Plate Tectonics in the News,https://byui.instructure.com/courses/20676/assignments/576557
(GEOL 111): File Backup,20676,W02 Project: Annotated Bibliography Entry,https://byui.instructure.com/courses/20676/assignments/576555
(GEOL 111): File Backup,20676,W02 Reminder: Discussion Board Replies Copy,https://byui.instructure.com/courses/20676/assignments/576575
(GEOL 111): File Backup,20676,W03 MasteringGeology: Prepare Quiz,https://byui.instructure.com/courses/20676/assignments/576581
(GEOL 111): File Backup,20676,W03 MasteringGeology: Coaching Activity,https://byui.instructure.com/courses/20676/assignments/576579
(GEOL 111): File Backup,20676,W03 Group Discussion: Identifying Minerals,https://byui.instructure.com/courses/20676/assignments/576577
(GEOL 111): File Backup,20676,W03 GeoJournal: Is it a Mineral?,https://byui.instructure.com/courses/20676/assignments/576553
(GEOL 111): File Backup,20676,W03 Project: Annotated Bibliography Entry,https://byui.instructure.com/courses/20676/assignments/576551
(GEOL 111): File Backup,20676,W03 Exam 1,https://byui.instructure.com/courses/20676/assignments/576509
(GEOL 111): File Backup,20676,W03 Reminder: Discussion Board Replies,https://byui.instructure.com/courses/20676/assignments/576583
(GEOL 111): File Backup,20676,W04 MasteringGeology: Prepare Quiz,https://byui.instructure.com/courses/20676/assignments/576589
(GEOL 111): File Backup,20676,W04 MasteringGeology: Coaching Activity,https://byui.instructure.com/courses/20676/assignments/576587
(GEOL 111): File Backup,20676,W04 GeoJournal: Volcanic Eruptions,https://byui.instructure.com/courses/20676/assignments/576549
(GEOL 111): File Backup,20676,W04 Project: Annotated Bibliography Entry,https://byui.instructure.com/courses/20676/assignments/576547
(GEOL 111): File Backup,20676,W04 Group Discussion: Volcanos,https://byui.instructure.com/courses/20676/assignments/576585
(GEOL 111): File Backup,20676,W04 Reminder: Discussion Board Replies Copy,https://byui.instructure.com/courses/20676/assignments/576591
(GEOL 111): File Backup,20676,W05 MasteringGeology: Prepare Quiz,https://byui.instructure.com/courses/20676/assignments/576597
(GEOL 111): File Backup,20676,W05 MasteringGeology: Coaching Activity,https://byui.instructure.com/courses/20676/assignments/576595
(GEOL 111): File Backup,20676,W05 Group Discussion: Rock Cycle,https://byui.instructure.com/courses/20676/assignments/576593
(GEOL 111): File Backup,20676,W05 GeoJournal: Sedimentary Rocks,https://byui.instructure.com/courses/20676/assignments/576545
(GEOL 111): File Backup,20676,W05 Project: Annotated Bibliography Entry,https://byui.instructure.com/courses/20676/assignments/576543
(GEOL 111): File Backup,20676,W05 Mid-Semester Instructor Feedback,https://byui.instructure.com/courses/20676/assignments/576505
(GEOL 111): File Backup,20676,W05 Reminder: Discussion Board Replies,https://byui.instructure.com/courses/20676/assignments/576599
(GEOL 111): File Backup,20676,W06 MasteringGeology: Prepare Quiz,https://byui.instructure.com/courses/20676/assignments/576605
(GEOL 111): File Backup,20676,W06 MasteringGeology: Coaching Activity,https://byui.instructure.com/courses/20676/assignments/576603
(GEOL 111): File Backup,20676,W06 Group Discussion: Mountain Observations,https://byui.instructure.com/courses/20676/assignments/576601
(GEOL 111): File Backup,20676,W06 GeoJournal: Metamorphic Construction Materials,https://byui.instructure.com/courses/20676/assignments/576541
(GEOL 111): File Backup,20676,W06 Project: Annotated Bibliography Entry,https://byui.instructure.com/courses/20676/assignments/576539
(GEOL 111): File Backup,20676,W06 Exam 2,https://byui.instructure.com/courses/20676/assignments/576499
(GEOL 111): File Backup,20676,W06 Reminder: Discussion Board Replies,https://byui.instructure.com/courses/20676/assignments/576607
